"filename", "language", "C#", "comment", "blank", "total"
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\AirCraftModeSwitch.cs", "C#", 35, 8, 3, 46
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\CameraDistMain.cs", "C#", 77, 16, 16, 109
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\CameraDistSecond.cs", "C#", 66, 4, 13, 83
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\CharacterCtrl.cs", "C#", 418, 96, 57, 571
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\GlobalRules.cs", "C#", 148, 54, 29, 231
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\PlayerBrain.cs", "C#", 68, 35, 15, 118
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\SpectatorCtrl.cs", "C#", 73, 4, 13, 90
"f:\Unity\The Mass Hit\Assets\Scripts\CharacterScripts\WaterWithCamera.cs", "C#", 22, 1, 2, 25
"f:\Unity\The Mass Hit\Assets\Scripts\MissionScripts\AnimationMessionCtrl.cs", "C#", 30, 10, 4, 44
"f:\Unity\The Mass Hit\Assets\Scripts\MissionScripts\CheckPoint.cs", "C#", 83, 2, 10, 95
"f:\Unity\The Mass Hit\Assets\Scripts\MissionScripts\Level1\GetKernel.cs", "C#", 35, 3, 7, 45
"f:\Unity\The Mass Hit\Assets\Scripts\MissionScripts\LevelList.cs", "C#", 20, 0, 3, 23
"f:\Unity\The Mass Hit\Assets\Scripts\MissionScripts\SavedData.cs", "C#", 9, 0, 2, 11
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\AudioPeer.cs", "C#", 195, 32, 28, 255
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\BlackHoleAttraction.cs", "C#", 36, 8, 7, 51
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\BlackHoleDestory.cs", "C#", 31, 1, 3, 35
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\BulletDestory.cs", "C#", 59, 8, 15, 82
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\FloatBoard.cs", "C#", 101, 4, 7, 112
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\FloatOnWater.cs", "C#", 54, 22, 4, 80
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\GravityCubeAction.cs", "C#", 28, 4, 3, 35
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\GunScript.cs", "C#", 83, 14, 14, 111
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\Interceptor.cs", "C#", 70, 9, 8, 87
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\JumpPad.cs", "C#", 27, 0, 4, 31
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\SelfRotate.cs", "C#", 57, 2, 2, 61
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\SwitchBlockCtrl.cs", "C#", 72, 26, 15, 113
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\SwordAttack.cs", "C#", 11, 1, 2, 14
"f:\Unity\The Mass Hit\Assets\Scripts\Tools\particleAttractorLinear.cs", "C#", 28, 5, 2, 35
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\Acknowledgements.cs", "C#", 17, 3, 3, 23
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\BackGroundMusicCtrl.cs", "C#", 46, 6, 7, 59
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\ButtonSoundCtrl.cs", "C#", 45, 1, 4, 50
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\EscUI.cs", "C#", 125, 35, 25, 185
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\GlobalUIFunctions.cs", "C#", 144, 37, 16, 197
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\MissionTextCrtl.cs", "C#", 151, 39, 13, 203
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\SpectatorUI.cs", "C#", 71, 6, 6, 83
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\Splash.cs", "C#", 20, 0, 2, 22
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\StartMenuManager.cs", "C#", 120, 12, 13, 145
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\UIEffect.cs", "C#", 12, 1, 2, 15
"f:\Unity\The Mass Hit\Assets\Scripts\UIElements\UIManager.cs", "C#", 222, 52, 44, 318
"Total", "-", 2909, 561, 423, 3893
